Title,Author,Language,Release_Date,Subjects,Bookshelf,file_path,label
The Enchanted April by Elizabeth Von Arnim,"Von Arnim, Elizabeth, 1866-1941",Unknown,"Jul 29, 2005","Love stories, Domestic fiction, Italy -- Fiction, Female friendship -- Fiction, British -- Italy -- Fiction","Bookshelves, In Bestsellers, American, 1895-1923, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",The_Enchanted_April_by_Elizabeth_Von_Arnim_1620.txt,human
The Blue Castle: a novel by L. M. Montgomery,"Montgomery, L. M. (Lucy Maud), 1874-1942",Unknown,"May 3, 2022","Self-actualization (Psychology) -- Fiction, Single women -- Fiction, Choice -- Fiction, Canada -- History -- 1914-1945 -- Fiction, Romance fiction, Love -- Fiction, Young adult fiction","Bookshelves, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Teaching & Education, In Browsing: Fiction",The_Blue_Castle_a_novel_by_L_M__Montgomery_1618.txt,human
A Doll's House : a play by Henrik Ibsen,"Ibsen, Henrik, 1828-1906",Unknown,"Mar 1, 2001","Marriage -- Drama, Man-woman relationships -- Drama, Norwegian drama -- Translations into English, Wives -- Drama","Bookshelves, In Best Books Ever Listings, In Browsing: Literature, In Browsing: Fiction",A_Dolls_House__a_play_by_Henrik_Ibsen_1508.txt,human
Cranford by Elizabeth Cleghorn Gaskell,"Gaskell, Elizabeth Cleghorn, 1810-1865, Brock, C. E. (Charles Edmund), 1870-1938",Unknown,"Jan 1, 1996","England -- Fiction, Sisters -- Fiction, Pastoral fiction, Villages -- Fiction, Older women -- Fiction, Female friendship -- Fiction","Bookshelves, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",Cranford_by_Elizabeth_Cleghorn_Gaskell_1507.txt,human
The Adventures of Ferdinand Count Fathom — Complete by T. Smollett,"Smollett, T. (Tobias), 1721-1771",Unknown,"Sep 9, 2004","Gothic fiction, Adventure stories","Bookshelves, In Best Books Ever Listings, In Browsing: Literature, In Browsing: Fiction",The_Adventures_of_Ferdinand_Count_Fathom__Complete_by_T__Smollett_1498.txt,human
"History of Tom Jones, a Foundling by Henry Fielding","Fielding, Henry, 1707-1754",Unknown,"Sep 1, 2004","Humorous stories, England -- Fiction, Bildungsromans, Young men -- Fiction, Foundlings -- Fiction, Identity (Psychology) -- Fiction","Bookshelves, In Best Books Ever Listings, In Harvard Classics, In Movie Books, In Banned Books from Anne Haight's list, In Browsing: Humour, In Browsing: Literature, In Browsing: Fiction",History_of_Tom_Jones_a_Foundling_by_Henry_Fielding_1488.txt,human
The Expedition of Humphry Clinker by T. Smollett,"Smollett, T. (Tobias), 1721-1771",Unknown,"Apr 1, 2000","Epistolary fiction, Travelers -- Fiction, Great Britain -- Fiction","Bookshelves, In Historical Fiction, In Best Books Ever Listings, In Browsing: History - General, In Browsing: Literature, In Browsing: Travel & Geography, In Browsing: Fiction",The_Expedition_of_Humphry_Clinker_by_T__Smollett_1481.txt,human
The Adventures of Roderick Random by T. Smollett,"Smollett, T. (Tobias), 1721-1771",Unknown,"May 1, 2003","Sea stories, England -- Fiction, Picaresque literature, Rogues and vagabonds -- Fiction, Sailors -- Fiction, Warships -- Fiction, Scots -- England -- Fiction, Impressment -- Fiction","Bookshelves, In Historical Fiction, In Best Books Ever Listings, In Browsing: Culture/Civilization/Society, In Browsing: History - General, In Browsing: Literature, In Browsing: Fiction",The_Adventures_of_Roderick_Random_by_T__Smollett_1465.txt,human
My Life — Volume 1 by Richard Wagner,"Wagner, Richard, 1813-1883",Unknown,"Feb 1, 2004","Wagner, Richard, 1813-1883, Composers -- Germany -- Biography","Bookshelves, In Browsing: Biographies, In Browsing: Music",My_Life__Volume_1_by_Richard_Wagner_1448.txt,human
Twenty years after by Alexandre Dumas and Auguste Maquet,"Dumas, Alexandre, 1802-1870, Maquet, Auguste, 1813-1888",Unknown,"Mar 1, 1998","France -- History -- Louis XIV, 1643-1715 -- Fiction","Bookshelves, In Adventure, In Historical Fiction, In Movie Books, In Browsing: Culture/Civilization/Society, In Browsing: History - General, In Browsing: Literature, In Browsing: Fiction",Twenty_years_after_by_Alexandre_Dumas_and_Auguste_Maquet_1430.txt,human
The Legend of Sleepy Hollow by Washington Irving,"Irving, Washington, 1783-1859",Unknown,"Jun 27, 2008","Ghosts -- Fiction, New York (State) -- History -- 1775-1865 -- Fiction","Bookshelves, In Children's Literature, In Harvard Classics, In Browsing: Children & Young Adult Reading, In Browsing: History - American, In Browsing: Literature, In Browsing: Fiction",The_Legend_of_Sleepy_Hollow_by_Washington_Irving_1416.txt,human
The Picture of Dorian Gray by Oscar Wilde,"Wilde, Oscar, 1854-1900",Unknown,"Oct 1, 1994","Didactic fiction, Supernatural -- Fiction, Conduct of life -- Fiction, Portraits -- Fiction, Great Britain -- History -- Victoria, 1837-1901 -- Fiction, London (England) -- History -- 1800-1950 -- Fiction, Appearance (Philosophy) -- Fiction, Paranormal fiction","Bookshelves, In Gothic Fiction, In Movie Books, In Browsing: Literature, In Browsing: Philosophy & Ethics, In Browsing: Fiction",The_Picture_of_Dorian_Gray_by_Oscar_Wilde_1380.txt,human
Dracula by Bram Stoker,"Stoker, Bram, 1847-1912",Unknown,"Oct 1, 1995","Horror tales, Epistolary fiction, Gothic fiction, Vampires -- Fiction, Dracula, Count (Fictitious character) -- Fiction, Transylvania (Romania) -- Fiction, Whitby (England) -- Fiction","Bookshelves, In Horror, In Gothic Fiction, In Mystery Fiction, In Movie Books, In Browsing: Literature, In Browsing: Science-Fiction & Fantasy, In Browsing: Fiction",Dracula_by_Bram_Stoker_1265.txt,human
The Great Gatsby by F. Scott Fitzgerald,"Fitzgerald, F. Scott (Francis Scott), 1896-1940",Unknown,"Jan 17, 2021","Psychological fiction, First loves -- Fiction, Married women -- Fiction, Rich people -- Fiction, Long Island (N.Y.) -- Fiction","Bookshelves, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",The_Great_Gatsby_by_F_Scott__Fitzgerald_1255.txt,human
Adventures of Huckleberry Finn by Mark Twain,"Twain, Mark, 1835-1910, Kemble, E. W. (Edward Windsor), 1861-1933",Unknown,"Jun 29, 2004","Humorous stories, Bildungsromans, Boys -- Fiction, Male friendship -- Fiction, Adventure stories, Missouri -- Fiction, Race relations -- Fiction, Runaway children -- Fiction, Finn, Huckleberry (Fictitious character) -- Fiction, Fugitive slaves -- Fiction, Mississippi River -- Fiction","Bookshelves, In Best Books Ever Listings, In Banned Books from Anne Haight's list, In Banned Books List from the American Library Association, In Browsing: Culture/Civilization/Society, In Browsing: Humour, In Browsing: Literature, In Browsing: Fiction",Adventures_of_Huckleberry_Finn_by_Mark_Twain_1195.txt,human
Metamorphosis by Franz Kafka,"Kafka, Franz, 1883-1924, Wyllie, David (Translator)",Unknown,"Aug 17, 2005","Psychological fiction, Metamorphosis -- Fiction","Bookshelves, In Horror, In Browsing: Literature, In Browsing: Psychiatry/Psychology, In Browsing: Fiction",Metamorphosis_by_Franz_Kafka_1171.txt,human
A Modest Proposal by Jonathan Swift,"Swift, Jonathan, 1667-1745",Unknown,"Oct 1, 1997","Political satire, English, Religious satire, English, Ireland -- Politics and government -- 18th century -- Humor","Bookshelves, In Browsing: Humour, In Browsing: Literature, In Browsing: Politics",A_Modest_Proposal_by_Jonathan_Swift_1114.txt,human
The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,"Stevenson, Robert Louis, 1850-1894",Unknown,"Jun 27, 2008","Science fiction, Horror tales, London (England) -- Fiction, Physicians -- Fiction, Psychological fiction, Self-experimentation in medicine -- Fiction, Multiple personality -- Fiction","Bookshelves, In Precursors of Science Fiction, In Horror, In Movie Books, In Browsing: Psychiatry/Psychology, In Browsing: Science-Fiction & Fantasy, In Browsing: Fiction",The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde_by_Robert_Louis_Stevenson_1094.txt,human
The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde,"Wilde, Oscar, 1854-1900",Unknown,"Mar 1, 1997","Comedies, England -- Drama, Identity (Psychology) -- Drama, Foundlings -- Drama","Bookshelves, In Plays, In Browsing: Literature, In Browsing: Performing Arts/Film, In Browsing: Fiction",The_Importance_of_Being_Earnest_A_Trivial_Comedy_for_Serious_People_by_Oscar_Wilde_1072.txt,human
The Yellow Wallpaper by Charlotte Perkins Gilman,"Gilman, Charlotte Perkins, 1860-1935",Unknown,"Nov 1, 1999","Psychological fiction, Mentally ill women -- Fiction, Feminist fiction, Married women -- Psychology -- Fiction, Sex role -- Fiction","Bookshelves, In Gothic Fiction, In Browsing: Gender & Sexuality Studies, In Browsing: Literature, In Browsing: Psychiatry/Psychology, In Browsing: Fiction",The_Yellow_Wallpaper_by_Charlotte_Perkins_Gilman_1068.txt,human
Tales and Stories by Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft, 1797-1851, Garnett, Richard, 1835-1906",Unknown,"Mar 1, 2018","English fiction -- 19th century, Short stories, English","Bookshelves, In Browsing: Literature, In Browsing: Fiction",Tales_and_Stories_by_Mary_Wollstonecraft_Shelley_957.txt,human
Crime and Punishment by Fyodor Dostoyevsky,"Dostoyevsky, Fyodor, 1821-1881, Garnett, Constance, 1861-1946",Unknown,"Mar 28, 2006","Detective and mystery stories, Psychological fiction, Saint Petersburg (Russia) -- Fiction, Murder -- Fiction, Crime -- Psychological aspects -- Fiction","Bookshelves, In Best Books Ever Listings, In Crime Fiction, In Harvard Classics, In Browsing: Crime/Mystery, In Browsing: Literature, In Browsing: Psychiatry/Psychology, In Browsing: Fiction",Crime_and_Punishment_by_Fyodor_Dostoyevsky_856.txt,human
A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens,"Dickens, Charles, 1812-1870, Leech, John, 1817-1864",Unknown,"Aug 11, 2004","Christmas stories, London (England) -- Fiction, Poor families -- Fiction, Ghost stories, Misers -- Fiction, Sick children -- Fiction, Scrooge, Ebenezer (Fictitious character) -- Fiction","Bookshelves, In Children's Literature, In Christmas, In Browsing: Children & Young Adult Reading, In Browsing: Culture/Civilization/Society, In Browsing: Fiction",A_Christmas_Carol_in_Prose_Being_a_Ghost_Story_of_Christmas_by_Charles_Dickens_838.txt,human
Beowulf: An Anglo-Saxon Epic Poem by J. Lesslie Hall,"Hall, J. Lesslie (John Lesslie), 1856-1928",Unknown,"Jul 19, 2005","Epic poetry, English (Old), Monsters -- Poetry, Dragons -- Poetry","Bookshelves, In Poetry, In Browsing: History - Medieval/The Middle Ages, In Browsing: Literature, In Browsing: Poetry",Beowulf_An_Anglo-Saxon_Epic_Poem_815.txt,human
The Adventures of Sherlock Holmes by Arthur Conan Doyle,"Doyle, Arthur Conan, 1859-1930",Unknown,"Mar 1, 1999","Holmes, Sherlock (Fictitious character) -- Fiction, Private investigators -- England -- Fiction, Detective and mystery stories, English","Bookshelves, In Detective Fiction, In Contemporary Reviews, In Banned Books from Anne Haight's list, In Browsing: Crime/Mystery, In Browsing: Literature, In Browsing: Fiction",The_Adventures_of_Sherlock_Holmes_by_Arthur_Conan_Doyle_779.txt,human
The Souls of Black Folk by W. E. B. Du Bois,"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",Unknown,"Jan 1, 1996",African Americans,"Bookshelves, In African American Writers, In Browsing: Biographies, In Browsing: Culture/Civilization/Society, In Browsing: History - American",The_Souls_of_Black_Folk_by_W_E_B__Du_Bois_777.txt,human
Leviathan by Thomas Hobbes,"Hobbes, Thomas, 1588-1679",Unknown,"May 1, 2002","Political science -- Early works to 1800, State, The -- Early works to 1800","Bookshelves, In Politics, In Harvard Classics, In Browsing: History - General, In Browsing: Politics",Leviathan_by_Thomas_Hobbes_770.txt,human
A Tale of Two Cities by Charles Dickens,"Dickens, Charles, 1812-1870",Unknown,"Jan 1, 1994","Historical fiction, France -- History -- Revolution, 1789-1799 -- Fiction, London (England) -- History -- 18th century -- Fiction, War stories, Executions and executioners -- Fiction, French -- England -- London -- Fiction, Lookalikes -- Fiction, British -- France -- Paris -- Fiction, Paris (France) -- History -- 1789-1799 -- Fiction","Bookshelves, In Historical Fiction, In Browsing: History - British, In Browsing: History - European, In Browsing: History - General, In Browsing: Literature, In Browsing: Fiction",A_Tale_of_Two_Cities_by_Charles_Dickens_758.txt,human
Jane Eyre: An Autobiography by Charlotte Brontë,"Brontë, Charlotte, 1816-1855, Townsend, F. H. (Frederick Henry), 1868-1920",Unknown,"Mar 1, 1998","Orphans -- Fiction, England -- Fiction, Young women -- Fiction, Love stories, Governesses -- Fiction, Fathers and daughters -- Fiction, Mentally ill women -- Fiction, Charity-schools -- Fiction, Married people -- Fiction, Country homes -- Fiction, Bildungsromans","Bookshelves, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",Jane_Eyre_An_Autobiography_by_Charlotte_Brontë_757.txt,human
Great Expectations by Charles Dickens,"Dickens, Charles, 1812-1870",Unknown,"Jul 1, 1998","Orphans -- Fiction, England -- Fiction, Revenge -- Fiction, Bildungsromans, Young men -- Fiction, Man-woman relationships -- Fiction, Ex-convicts -- Fiction, Benefactors -- Fiction","Bookshelves, In Best Books Ever Listings, In Browsing: Literature, In Browsing: Fiction",Great_Expectations_by_Charles_Dickens_722.txt,human
Thus Spake Zarathustra: A Book for All and None by Friedrich Wilhelm Nietzsche,"Nietzsche, Friedrich Wilhelm, 1844-1900, Common, Thomas, 1850-1919",Unknown,"Dec 1, 1999","Superman (Philosophical concept), Philosophy, German","Bookshelves, In Philosophy, In Browsing: Philosophy & Ethics, In Browsing: Psychiatry/Psychology, In Browsing: Religion/Spirituality/Paranormal",Thus_Spake_Zarathustra_A_Book_for_All_and_None_by_Friedrich_Wilhelm_Nietzsche_721.txt,human
Gena of the Appalachians by Clarence Monroe Wallin,"Wallin, Clarence Monroe, 1880-1950",Unknown,"Oct 17, 2024",Appalachians (People) -- Social life and customs -- Fiction,Bookshelves,Gena_of_the_Appalachians_by_Clarence_Monroe_Wallin_716.txt,human
The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe,"Poe, Edgar Allan, 1809-1849",Unknown,"Apr 1, 2000","Short stories, Fantasy fiction, Horror tales, American, American fiction -- 19th century","Bookshelves, In Detective Fiction, In Horror, In Gothic Fiction, In Mystery Fiction, In Browsing: History - American, In Browsing: Literature, In Browsing: Science-Fiction & Fantasy, In Browsing: Fiction",The_Works_of_Edgar_Allan_Poe__Volume_2_by_Edgar_Allan_Poe_694.txt,human
Grimms' Fairy Tales by Jacob Grimm and Wilhelm Grimm,"Grimm, Jacob, 1785-1863, Grimm, Wilhelm, 1786-1859",Unknown,"Apr 1, 2001",Fairy tales -- Germany,"Bookshelves, In Browsing: Culture/Civilization/Society, In Browsing: Literature",Grimms_Fairy_Tales_by_Jacob_Grimm_and_Wilhelm_Grimm_679.txt,human
The Pursuit of God by A. W. Tozer,"Tozer, A. W. (Aiden Wilson), 1897-1963",Unknown,"Apr 23, 2008","God (Christianity) -- Worship and love, Spirituality","Bookshelves, In Browsing: Philosophy & Ethics, In Browsing: Religion/Spirituality/Paranormal",The_Pursuit_of_God_by_A_W__Tozer_669.txt,human
The Iliad by Homer,"Homer, 751? BCE-651? BCE, Buckley, Theodore Alois, 1825-1856, Pope, Alexander, 1688-1744",Unknown,"Jul 1, 2004","Classical literature, Epic poetry, Greek -- Translations into English, Achilles (Mythological character) -- Poetry, Trojan War -- Poetry","Bookshelves, In Classical Antiquity, In Browsing: Literature, In Browsing: Poetry",The_Iliad_by_Homer_667.txt,human
The Odyssey by Homer,"Homer, 751? BCE-651? BCE, Butler, Samuel, 1835-1902",Unknown,"Apr 1, 1999","Homer -- Translations into English, Epic poetry, Greek -- Translations into English, Odysseus, King of Ithaca (Mythological character)","Bookshelves, In Classical Antiquity, In Harvard Classics, In Browsing: History - Ancient, In Browsing: Literature",The_Odyssey_by_Homer_646.txt,human
The Prince by Niccolò Machiavelli,"Machiavelli, Niccolò, 1469-1527, Marriott, W. K. (William Kenaz), -1927",Unknown,"Feb 11, 2006","State, The -- Early works to 1800, Political science -- Philosophy -- Early works to 1800, Political ethics -- Early works to 1800","Bookshelves, In Politics, In Harvard Classics, In Philosophy, In Banned Books from Anne Haight's list, In Browsing: History - General, In Browsing: Philosophy & Ethics, In Browsing: Politics",The_Prince_by_Niccolò_Machiavelli_641.txt,human
Second Treatise of Government by John Locke,"Locke, John, 1632-1704",Unknown,"Jan 1, 2005","Political science -- Early works to 1800, Toleration -- Early works to 1800, Liberty -- Early works to 1800","Bookshelves, In Politics, In Philosophy, In Browsing: Philosophy & Ethics, In Browsing: Politics",Second_Treatise_of_Government_by_John_Locke_620.txt,human
Ulysses by James Joyce,"Joyce, James, 1882-1941",Unknown,"Jul 1, 2003","City and town life -- Fiction, Psychological fiction, Domestic fiction, Married people -- Fiction, Male friendship -- Fiction, Dublin (Ireland) -- Fiction, Epic literature, Artists -- Fiction, Jewish men -- Fiction, Alienation (Social psychology) -- Fiction","Bookshelves, In Best Books Ever Listings, In Erotic Fiction, In Banned Books from Anne Haight's list, In Banned Books List from the American Library Association, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",Ulysses_by_James_Joyce_608.txt,human
Beyond Good and Evil by Friedrich Wilhelm Nietzsche,"Nietzsche, Friedrich Wilhelm, 1844-1900, Zimmern, Helen, 1846-1934",Unknown,"Aug 1, 2003","Ethics, Philosophy, German","Bookshelves, In Philosophy, In Atheism, In Browsing: Philosophy & Ethics",Beyond_Good_and_Evil_by_Friedrich_Wilhelm_Nietzsche_606.txt,human
The Brothers Karamazov by Fyodor Dostoyevsky,"Dostoyevsky, Fyodor, 1821-1881, Garnett, Constance, 1861-1946",Unknown,"Feb 12, 2009","Didactic fiction, Fathers and sons -- Fiction, Russia -- Social life and customs -- 1533-1917 -- Fiction, Brothers -- Fiction","Bookshelves, In Best Books Ever Listings, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",The_Brothers_Karamazov_by_Fyodor_Dostoyevsky_601.txt,human
The Confessions of St. Augustine by Bishop of Hippo Saint Augustine,"Augustine, Saint, Bishop of Hippo, 354-430, Pusey, E. B. (Edward Bouverie), 1800-1882",Unknown,"Jun 1, 2002","Augustine, Saint, Bishop of Hippo, Christian saints -- Algeria -- Hippo (Extinct city) -- Biography, Catholic Church -- Bishops -- Biography, Bishops -- Algeria -- Hippo (Extinct city) -- Biography","Bookshelves, In Classical Antiquity, In Harvard Classics, In Christianity, In Browsing: Biographies, In Browsing: History - Religious, In Browsing: Philosophy & Ethics, In Browsing: Religion/Spirituality/Paranormal",The_Confessions_of_St_Augustine_by_Bishop_of_Hippo_Saint_Augustine_599.txt,human
Heart of Darkness by Joseph Conrad,"Conrad, Joseph, 1857-1924",Unknown,"Jan 9, 2006","Africa -- Fiction, Europeans -- Africa -- Fiction, Trading posts -- Fiction, Degeneration -- Fiction, Imperialism -- Fiction, Psychological fiction","Bookshelves, In Best Books Ever Listings, In Movie Books, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",Heart_of_Darkness_by_Joseph_Conrad_589.txt,human
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa,…","Equiano, Olaudah, 1745-1797",Unknown,"Mar 17, 2005","Enslaved persons -- United States -- Biography, Equiano, Olaudah, 1745-1797, Enslaved persons -- Great Britain -- Biography","Bookshelves, In Africa, In Browsing: Biographies, In Browsing: Culture/Civilization/Society, In Browsing: History - American, In Browsing: History - General",The_Interesting_Narrative_of_the_Life_of_Olaudah_Equiano_Or_Gustavus_Vassa_The_African_by_Equiano_586.txt,human
War and Peace by graf Leo Tolstoy,"Tolstoy, Leo, graf, 1828-1910, Maude, Aylmer, 1858-1938, Maude, Louise, 1855-1939",Unknown,"Apr 1, 2001","Historical fiction, War stories, Napoleonic Wars, 1800-1815 -- Campaigns -- Russia -- Fiction, Russia -- History -- Alexander I, 1801-1825 -- Fiction, Aristocracy (Social class) -- Russia -- Fiction","Bookshelves, In Napoleonic(Bookshelf), In Opera, In Historical Fiction, In Best Books Ever Listings, In Movie Books, In Browsing: History - European, In Browsing: History - Warfare, In Browsing: Literature, In Browsing: Fiction",War_and_Peace_by_graf_Leo_Tolstoy_571.txt,human
Don Quijote by Miguel de Cervantes Saavedra,"Cervantes Saavedra, Miguel de, 1547-1616",Spanish,"Dec 1, 1999","Spain -- Social life and customs -- 16th century -- Fiction, Knights and knighthood -- Spain -- Fiction, Picaresque literature, Romances","Bookshelves, In Best Books Ever Listings, In Harvard Classics, In 6 Best Loved Spanish Literary Classics, In Browsing: Culture/Civilization/Society, In Browsing: Literature, In Browsing: Fiction",Don_Quijote_by_Miguel_de_Cervantes_Saavedra_567.txt,human
"The Adventures of Tom Sawyer, Complete by Mark Twain","Twain, Mark, 1835-1910",Unknown,"Jul 1, 2004","Humorous stories, Bildungsromans, Boys -- Fiction, Male friendship -- Fiction, Adventure stories, Missouri -- Fiction, Sawyer, Tom (Fictitious character) -- Fiction, Child witnesses -- Fiction, Runaway children -- Fiction, Mississippi River Valley -- Fiction","Bookshelves, In Banned Books from Anne Haight's list, In Banned Books List from the American Library Association, In Browsing: Children & Young Adult Reading, In Browsing: Humour, In Browsing: Literature, In Browsing: Fiction",The_Adventures_of_Tom_Sawyer_Complete_by_Mark_Twain_560.txt,human
"Narrative of the Life of Frederick Douglass, an American Slave by Douglass","Douglass, Frederick, 1818-1895",Unknown,"Jan 12, 2006","Douglass, Frederick, 1818-1895, African American abolitionists -- Biography, Abolitionists -- United States -- Biography, Enslaved persons -- United States -- Biography","Bookshelves, In Slavery, In African American Writers, In Browsing: Biographies, In Browsing: Culture/Civilization/Society, In Browsing: History - American",Narrative_of_the_Life_of_Frederick_Douglass_an_American_Slave_by_Frederick_Douglass_554.txt,human
Wuthering Heights by Emily Brontë,"Brontë, Emily, 1818-1848",Unknown,"Dec 1, 1996","Revenge -- Fiction, Psychological fiction, Rejection (Psychology) -- Fiction, Love stories, Domestic fiction, Yorkshire (England) -- Fiction, Foundlings -- Fiction, Rural families -- Fiction, Heathcliff (Fictitious character : Brontë) -- Fiction, Triangles (Interpersonal relations) -- Fiction","Bookshelves, In Best Books Ever Listings, In Gothic Fiction, In Movie Books, In Browsing: Literature, In Browsing: Fiction",Wuthering_Heights_by_Emily_Brontë_548.txt,human
The Republic by Plato,"Plato, 428? BCE-348? BCE, Jowett, Benjamin, 1817-1893",Unknown,"Oct 1, 1998","Classical literature, Political science -- Early works to 1800, Utopias -- Early works to 1800, Justice -- Early works to 1800","Bookshelves, In Philosophy, In Browsing: Literature, In Browsing: Philosophy & Ethics, In Browsing: Politics",The_Republic_by_Plato_543.txt,human
